secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,20131001,03783310,AAPL,3571,0,4,,0,314,478.381,489.14,478.45,487.96,12631279,0.023513,4,908497,4.113134
101594,20131002,03783310,AAPL,3571,0,4,,0,314,483.75,491.8,485.63,489.56,10314377,0.003279,4,908497,4.113134
101594,20131003,03783310,AAPL,3571,0,4,,0,314,480.7387,492.35,490.51,483.41,11525006,-0.012562,4,908497,4.113134
101594,20131004,03783310,AAPL,3571,0,4,,0,314,478.6,484.6,483.86,483.03,9242366,-0.000786,4,908497,4.113134
101594,20131007,03783310,AAPL,3571,0,4,,0,314,485.35,492.65,486.56,487.75,11148684,0.009772,4,908497,4.113134
101594,20131008,03783310,AAPL,3571,0,4,,0,314,480.54,490.64,489.94,480.94,10379699,-0.013962,4,908497,4.113134
101594,20131009,03783310,AAPL,3571,0,4,,0,314,478.28,487.79,484.64,486.588,10772020,0.011744,4,908497,4.113134
101594,20131010,03783310,AAPL,3571,0,4,,0,314,487.04,492.38,491.32,489.638,9937984,0.006268,4,908497,4.113134
101594,20131011,03783310,AAPL,3571,0,4,,0,314,485.16,493.84,486.99,492.812,9555767,0.006482,4,908497,4.113134
101594,20131014,03783310,AAPL,3571,0,4,,0,314,489.35,497.58,489.83,496.04,9343804,0.00655,4,908497,4.113134
101594,20131015,03783310,AAPL,3571,0,4,,0,314,495.52,502,497.505,498.68,11416838,0.005322,4,908497,4.113134
101594,20131016,03783310,AAPL,3571,0,4,,0,314,499.23,502.53,500.79,501.114,8950006,0.004881,4,908497,4.113134
101594,20131017,03783310,AAPL,3571,0,4,,0,314,499.68,504.78,499.98,504.5,9040110,0.006757,4,908497,4.113134
101594,20131018,03783310,AAPL,3571,0,4,,0,314,505.71,509.26,505.99,508.89,10369563,0.008702,4,908497,4.113134
101594,20131021,03783310,AAPL,3571,0,4,,0,314,511.52,524.3,511.77,521.362,14192625,0.024508,4,908497,4.113134
101594,20131022,03783310,AAPL,3571,0,4,,0,314,508.03,528.4496,526.405,519.8675,19069021,-0.002867,4,908497,4.113134
101594,20131023,03783310,AAPL,3571,0,4,,0,314,519,525.67,519,524.96,11198039,0.009796,4,908497,4.113134
101594,20131024,03783310,AAPL,3571,0,4,,0,314,522.45,532.47,525,531.91,13735072,0.013239,4,908497,4.113134
101594,20131025,03783310,AAPL,3571,0,4,,0,314,525.11,533.23,531.315,525.958,12059260,-0.01119,4,908497,4.113134
101594,20131028,03783310,AAPL,3571,0,4,,0,314,523.21,531,529.04,529.876,19581594,0.007449,4,908497,4.113134
101594,20131029,03783310,AAPL,3571,0,4,,0,314,514.54,539.25,536.27,516.678,22702380,-0.024908,4,908497,4.113134
101594,20131030,03783310,AAPL,3571,0,4,,0,314,517.02,527.52,519.61,524.896,12630732,0.015905,4,899213,4.113134
101594,20131031,03783310,AAPL,3571,0,4,,0,314,521.27,527.49,525,522.702,9839948,-0.00418,4,899738,4.113134
101594,20131101,03783310,AAPL,3571,0,4,,0,314,515.84,524.8,524.02,520.03,9813214,-0.005112,4,899738,4.113134
101594,20131104,03783310,AAPL,3571,0,4,,0,314,518.81,526.82,521.1,526.75,8729467,0.012922,4,899738,4.113134
101594,20131105,03783310,AAPL,3571,0,4,,0,314,523,528.885,524.58,525.449,9477996,-0.00247,4,899738,4.113134
101594,20131106,03783310,AAPL,3571,0,4,,0,314,518.2,524.86,524.15,520.92,7971628,-0.002815,4,899738,4.137217
101594,20131107,03783310,AAPL,3571,0,4,,0,314,512.38,523.19,519.58,512.492,9373762,-0.016179,4,899738,4.137217
101594,20131108,03783310,AAPL,3571,0,4,,0,314,512.59,521.13,514.58,520.56,9970113,0.015743,4,899738,4.137217
101594,20131111,03783310,AAPL,3571,0,4,,0,314,514.41,521.67,519.99,519.048,8121888,-0.002905,4,899738,4.137217
101594,20131112,03783310,AAPL,3571,0,4,,0,314,517,523.92,517.67,520.01,7299200,0.001853,4,899738,4.137217
101594,20131113,03783310,AAPL,3571,0,4,,0,314,516.96,522.25,518,520.634,7035419,0.0012,4,899738,4.137217
101594,20131114,03783310,AAPL,3571,0,4,,0,314,521.87,529.28,522.81,528.16,10084987,0.014455,4,899738,4.137217
101594,20131115,03783310,AAPL,3571,0,4,,0,314,524.49,529.09,526.58,524.991,11351297,-0.006,4,899738,4.137217
101594,20131118,03783310,AAPL,3571,0,4,,0,314,518.2,527.19,524.99,518.629,8742689,-0.012118,4,899738,4.137217
101594,20131119,03783310,AAPL,3571,0,4,,0,314,517.97,523.38,519.03,519.55,7461201,0.001776,4,899738,4.137217
101594,20131120,03783310,AAPL,3571,0,4,,0,314,514.33,520.42,519.23,515,6929342,-0.008758,4,899738,4.137217
101594,20131121,03783310,AAPL,3571,0,4,,0,314,513.67,521.21,517.6,521.136,9356554,0.011915,4,899738,4.137217
101594,20131122,03783310,AAPL,3571,0,4,,0,314,518.53,522.16,519.52,519.8,7984732,-0.002564,4,899738,4.137217
101594,20131125,03783310,AAPL,3571,0,4,,0,314,521,525.87,521.02,523.74,8191070,0.00758,4,899738,4.137217
101594,20131126,03783310,AAPL,3571,0,4,,0,314,524,536.14,524.12,533.4,14323905,0.018444,4,899738,4.137217
101594,20131127,03783310,AAPL,3571,0,4,,0,314,533.4,546,536.3098,545.96,12971195,0.023547,4,899738,4.137217
101594,20131129,03783310,AAPL,3571,0,4,,0,314,547.81,558.33,549.48,556.07,11361745,0.018518,4,899738,4.137217
101594,20131202,03783310,AAPL,3571,0,4,,0,314,550.82,564.3299,558,551.23,16875173,-0.008704,4,899738,4.137217
101594,20131203,03783310,AAPL,3571,0,4,,0,314,557.68,566.38,558.3,566.322,16094710,0.027379,4,899738,4.137217
101594,20131204,03783310,AAPL,3571,0,4,,0,314,560.82,569.19,565.5,565,13489250,-0.002334,4,899738,4.137217
101594,20131205,03783310,AAPL,3571,0,4,,0,314,566.41,575.1358,572.65,567.901,15972431,0.005135,4,899738,4.137217
101594,20131206,03783310,AAPL,3571,0,4,,0,314,559.57,566.75,565.79,560.02,12292639,-0.013877,4,899738,4.137217
101594,20131209,03783310,AAPL,3571,0,4,,0,314,560.9001,569.58,560.9001,566.43,11441340,0.011446,4,899738,4.137217
101594,20131210,03783310,AAPL,3571,0,4,,0,314,561.2,567.88,563.58,565.55,9930111,-0.001554,4,899738,4.137217
101594,20131211,03783310,AAPL,3571,0,4,,0,314,559.69,570.97,567,561.36,12842762,-0.007409,4,899738,4.137217
101594,20131212,03783310,AAPL,3571,0,4,,0,314,560.03,565.34,562.1415,560.54,9363706,-0.001461,4,899738,4.137217
101594,20131213,03783310,AAPL,3571,0,4,,0,314,553.67,562.88,562.85,554.43,11879915,-0.0109,4,899738,4.137217
101594,20131216,03783310,AAPL,3571,0,4,,0,314,555.01,562.6389,555.02,557.5,10089354,0.005537,4,899738,4.137217
101594,20131217,03783310,AAPL,3571,0,4,,0,314,553.375,559.44,555.81,554.99,8204296,-0.004502,4,899738,4.137217
101594,20131218,03783310,AAPL,3571,0,4,,0,314,538.8,551.45,549.7,550.77,20201180,-0.007604,4,899738,4.137217
101594,20131219,03783310,AAPL,3571,0,4,,0,314,543.7301,550,549.5,544.46,11460524,-0.011457,4,899738,4.137217
101594,20131220,03783310,AAPL,3571,0,4,,0,314,544.8175,551.61,545.43,549.02,15566715,0.008375,4,899738,4.137217
101594,20131223,03783310,AAPL,3571,0,4,,0,314,562.76,570.72,568,570.09,17891901,0.038377,4,899738,4.137217
101594,20131224,03783310,AAPL,3571,0,4,,0,314,566.03,571.88,569.89,567.67,5984105,-0.004245,4,899738,4.137217
