secid,date,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,low,high,open,close,volume,return,cfadj,shrout,cfret
101594,20141201,03783310,AAPL,3571,0,4,,0,314,111.27,119.25,118.81,115.07,83801863,-0.032456,28,5864840,29.56891
101594,20141202,03783310,AAPL,3571,0,4,,0,314,112.75,115.75,113.5,114.63,59335024,-0.003824,28,5864840,29.56891
101594,20141203,03783310,AAPL,3571,0,4,,0,314,115.11,116.35,115.75,115.93,43048635,0.011341,28,5864840,29.56891
101594,20141204,03783310,AAPL,3571,0,4,,0,314,115.29,117.2,115.77,115.49,42146770,-0.003795,28,5864840,29.56891
101594,20141205,03783310,AAPL,3571,0,4,,0,314,114.64,116.08,115.99,115,38311982,-0.004243,28,5864840,29.56891
101594,20141208,03783310,AAPL,3571,0,4,,0,314,111.62,114.648,114.1,112.4,57627773,-0.022609,28,5864840,29.56891
101594,20141209,03783310,AAPL,3571,0,4,,0,314,109.35,114.3,110.19,114.12,60190080,0.015303,28,5864840,29.56891
101594,20141210,03783310,AAPL,3571,0,4,,0,314,111.54,114.85,114.41,111.95,44538072,-0.019015,28,5864840,29.56891
101594,20141211,03783310,AAPL,3571,0,4,,0,314,111.34,113.8,112.26,111.62,41464408,-0.002948,28,5864840,29.56891
101594,20141212,03783310,AAPL,3571,0,4,,0,314,109.58,111.87,110.46,109.73,56006777,-0.016932,28,5864840,29.56891
101594,20141215,03783310,AAPL,3571,0,4,,0,314,106.35,111.6,110.7,108.225,67181494,-0.013716,28,5864840,29.56891
101594,20141216,03783310,AAPL,3571,0,4,,0,314,106.26,110.16,106.37,106.745,60766443,-0.013675,28,5864840,29.56891
101594,20141217,03783310,AAPL,3571,0,4,,0,314,106.82,109.84,107.12,109.41,53377979,0.024966,28,5864840,29.56891
101594,20141218,03783310,AAPL,3571,0,4,,0,314,110.66,112.65,111.87,112.65,58974543,0.029613,28,5864840,29.56891
101594,20141219,03783310,AAPL,3571,0,4,,0,314,111.66,113.24,112.26,111.78,88417023,-0.007723,28,5864840,29.56891
101594,20141222,03783310,AAPL,3571,0,4,,0,314,111.97,113.49,112.16,112.94,45160797,0.010378,28,5864840,29.56891
101594,20141223,03783310,AAPL,3571,0,4,,0,314,112.46,113.33,113.23,112.54,26014556,-0.003542,28,5864840,29.56891
101594,20141224,03783310,AAPL,3571,0,4,,0,314,112.01,112.71,112.58,112.01,14479611,-0.004709,28,5864840,29.56891
101594,20141226,03783310,AAPL,3571,0,4,,0,314,112.01,114.52,112.1,113.99,33710304,0.017677,28,5864840,29.56891
101594,20141229,03783310,AAPL,3571,0,4,,0,314,113.7,114.77,113.79,113.91,27583898,-0.000702,28,5864840,29.56891
101594,20141230,03783310,AAPL,3571,0,4,,0,314,112.11,113.92,113.64,112.52,29873479,-0.012203,28,5864840,29.56891
101594,20141231,03783310,AAPL,3571,0,4,,0,314,110.21,113.13,112.82,110.38,41388523,-0.019019,28,5864840,29.56891
