,,0,1,2
1,1,0.1784621759287262,-0.6744107852394496,0.99
1,2,0.21677389679754255,-0.6126088131152485,0.99
1,3,0.21863532613751205,-0.567233171460403,0.99
1,5,0.18198603951693554,-0.4494443977908128,0.99
1,10,0.1707248727878216,-0.26821808758045146,0.7850855917562264
5,1,0.17355387691216154,-0.4542982522503051,0.99
5,2,0.20069712052634564,-0.5210357921901981,0.99
5,3,0.21574205878988081,-0.5805136061966701,0.9786414431271353
5,5,0.19176466684334498,-0.5242413915078613,0.6830019792673274
5,10,0.17645421233345765,-0.43980702165201924,0.5066921194039244
10,1,0.17447900337189645,-0.5288969178479996,0.99
10,2,0.20459513656649528,-0.5788076666605884,0.9891530503151679
10,3,0.214234062059796,-0.5752495349360742,0.9132912052763454
10,5,0.28288990642117334,-0.6683927313068382,0.99
10,10,0.1775195577343482,-0.500987433526207,0.5940791806900855
